participant_home_ID,session,task,duration_min,n_events,participant_lab_ID,language
wjob1,5,digit_span,10.8216,583,22,Mini-Norwegian
xqls8,5,digit_span,15.813983333333333,577,3,Mini-English
ymoq6,5,digit_span,11.6247,583,62,Mini-Norwegian
yozx4,5,digit_span,13.979866666666666,597,30,Mini-Norwegian
yzud1,5,digit_span,13.938183333333333,584,42,Mini-Norwegian
zhao8,5,digit_span,9.507616666666667,583,26,Mini-Norwegian
zllv8,5,digit_span,11.3535,584,31,Mini-English
ztwr3,5,digit_span,11.412383333333333,587,21,Mini-English
zuff1,5,digit_span,9.550016666666666,581,36,Mini-Norwegian
zuwa4,5,digit_span,10.046483333333333,583,19,Mini-English
ahsw7,5,asrt,41.57425,2802,24,Mini-Norwegian
awfh6,5,asrt,1514.1747166666667,5850,56,Mini-Norwegian
bder6,5,asrt,39.39475,2989,40,Mini-Norwegian
cgju5,5,asrt,38.225,2404,34,Mini-Norwegian
chkk1,5,asrt,34.81503333333333,2401,41,Mini-English
crar9,5,asrt,35.62381666666667,2387,10,Mini-Norwegian
dbrb5,5,asrt,41.7665,2482,23,Mini-English
dzyb1,5,asrt,34.70648333333333,2389,54,Mini-Norwegian
exdq7,5,asrt,34.791466666666665,2439,9,Mini-English
ezje7,5,asrt,34.0378,2406,13,Mini-English
finc3,5,asrt,34.63491666666667,2468,14,Mini-Norwegian
fkft1,5,asrt,40.053916666666666,2362,43,Mini-English
fqrf6,5,asrt,35.741216666666666,2349,12,Mini-Norwegian
fwma9,5,asrt,33.90905,2440,39,Mini-English
gjop6,5,asrt,35.11253333333333,2440,32,Mini-Norwegian
gxac7,5,asrt,36.356566666666666,2421,15,Mini-English
hcqa8,5,asrt,37.80675,2442,8,Mini-Norwegian
hymj4,5,asrt,36.092483333333334,2389,37,Mini-English
idyh6,5,asrt,34.341566666666665,2475,38,Mini-Norwegian
jlos1,5,asrt,34.8112,2444,55,Mini-English
jpxp4,5,asrt,38.733333333333334,2393,6,Mini-Norwegian
kixs9,5,asrt,42.267966666666666,2399,48,Mini-Norwegian
ksjo8,5,asrt,34.01658333333334,2486,17,Mini-English
kvrn1,5,asrt,33.882333333333335,2495,44,Mini-Norwegian
kwly7,5,asrt,35.22615,2443,60,Mini-Norwegian
ltsl3,5,asrt,76.03145,2457,18,Mini-Norwegian
